ISIN/CUSIP,Fund Name,Objective
MTRAX,MainStay Income Builder Fund,The Fund seeks current income consistent with reasonable opportunity for future growth of capital and income. The Fund invests a minimum of 30% of its net assets in equity securities and a minimum of 30% in debt securities. The Fund may temporarily invest slightly less than 30% of its assets in equity or debt securities.
MIXAX,MainStay Indexed Bond Fund,"The Fund seeks to provide investment results that correspond to the total return performance of fixed income securities in the aggregate, as represented by the BIG Index."
MSEAX,MainStay International Equity Fund,The Fund seeks to provide long-term growth of capital commensurate with an acceptable level of risk by investing in a portfolio consisting primarily of non-U.S. equity securities.  Current income is a secondary objective.
MYITX,MainStay International Opportunities Fund,The Fund seeks long-term growth of capital with income as a secondary objective.  The Fund will generally hold long positions equal to approximately 130% of the Fund's equity assets and short positions equal to approximately 30% of the Fund's equity assets.
MLAAX,MainStay Large Cap Growth Fund,The Fund seeks long-term growth of capital by investing in companies with the potential to earn above-average future earnings growth.  The Fund's investment strategy may result in high portfolio turnover.
MAPAX,MainStay MAP Fund,The Fund seeks long-term appreciation of capital. The Fund also seeks to earn income as a secondary objective. The Fund normally invests at least 65% of its total assets in equity-type securities.
MMRAX,MainStay Moderate Allocation Fund,"The Fund seeks long-term growth of capital and, secondarily, current income.  The Fund seeks to achieve its investment objective by normally investing approximately 60% of its assets in Underlying Equity Funds, and approximately 40% of its assets in Underlying Fixed Income Funds."
MGDAX,MainStay Moderate Growth Allocation Fund,"The Fund seeks long-term growth of capital and, secondarily, current income.  The Fund seeks to achieve its investment objective by normally investing approximately 80% of its assets in Underlying Equity Funds and approximately 20% of its assets in Underlying Fixed Income Funds."
MNOAX,MainStay NY Tax Free Opportunities Fund,"The Fund seeks current income exempt from federal and New York state, and in some cases, New York local income tax. The Fund will invest at least 80% of its assets in municipal bonds whose interest is in the opinion of bond counsel for the issuers at the time of issuance exempt from federal and New York income taxes."
MSXAX,MainStay S&P 500 Index Fund,"The Fund seeks to provide investment results that correspond to the total return performance of common stocks in the aggregate, as represented by the S&P 500 Index. The Fund normally invests at least 80% of its assets in stocks as represented in the S&P 500 Index in the same proportion, to the extent feasible."
MDHAX,MainStay Short Duration High Yield Fund,The Fund seeks high current income. Capital appreciation is a secondary objective. The Fund invests at least 80% of its assets in high-yield debt securities that are rated below investment grade by an independent rating agency. The Fund will generally seek to maintain a weighted average duration of three years or less.
MSTAX,MainStay Tax Advantaged Short Term Bond Fund,"The Fund seeks to maximize total return, consistent with liquidity, preservation of capital, by investing primarily in a diversified portfolio of actively-managed short-term debt instruments."
MTBAX,MainStay Tax Free Bond Fund,"The Fund seeks current income exempt from regular federal income tax. The Fund invests at least 80% of its assets in municipal bonds that are rated investment grade by at least one independent rating agency.  On average, the Fund will invest in municipal bonds that have a maturity range of 10 to 30 years."
